fips,population,median_income,business_count
12109,278722,100020,7699
12111,334682,66154,6758
12113,188994,84715,3214
12115,439392,77213,15198
12117,471321,79490,14695
12119,131832,70105,1850
12121,43881,49729,675
12123,21421,46239,404
12125,15524,64043,134
12127,558520,63075,13872
12129,33732,72035,479
12131,76618,74832,2967
12133,25014,47536,428
13001,18441,43268,397
13003,8265,38007,88
13005,11138,43938,231
13007,2878,45417,29
13009,43778,54699,848
13011,18381,69096,306
13013,84399,75053,1435
13015,109410,74812,2282
13017,17169,38255,287
13019,18187,48670,256
13021,156554,48897,4166
13023,12413,56021,161
13025,18105,40166,216
13027,16275,42263,216
13029,44995,90627,768
13031,79829,53675,1569
13033,24337,50321,358
13035,25522,60076,410
13037,5594,48663,71
13039,55105,68104,881
13043,10946,45519,224
13045,120060,66895,2279
13047,68052,68896,983
13049,12547,45770,151
13051,296266,66171,8423
13053,9402,52943,101
13055,24902,43556,315
13057,268567,100824,6108
13059,128864,48692,3162
13061,2855,43264,39
13063,296312,56207,4242
13065,6713,53350,128
13067,765813,94244,22038
13069,43056,48398,837
13071,45813,47235,911
13073,156921,92571,2710
13075,17242,46706,312
13077,147449,90031,2928
13079,12156,56948,119
13081,20255,47463,492
13083,16239,59531,226
13085,27355,84516,808
13087,29063,47383,611
13089,761209,76044,18496
13091,19977,46091,307
13093,11236,54109,151
13095,85038,45640,2254
13097,144735,76930,2881
13099,10753,48355,206
13101,3707,61184,30
13103,65314,79474,859
13105,19570,48190,434
13107,22907,47905,369
13109,10759,55222,222
13111,25436,54857,690
13113,119259,105910,3855
13115,98541,57868,2073
13117,253225,131660,7341
13119,23480,52597,478
13121,1061944,86267,40620
13123,31519,70334,626
13125,2903,60469,28
13127,84566,65970,2643
13129,57785,57555,1039
13131,26075,51929,445
13133,19020,77527,480
13135,957977,82296,26819
13137,46326,61292,913
13139,204953,74153,4846
13141,8588,31767,71
13143,30178,65940,504
13145,34914,85936,454
13147,26110,61765,442
13149,11489,62965,112
13151,240853,79663,4489
13153,164117,76968,2705
13155,9487,46383,109
13157,77033,82056,1507
13159,14882,57374,202
13161,14791,41780,247
13163,15591,46865,305
13165,8704,31463,101
13167,9225,47796,122
13169,28382,66288,353
13171,18676,64966,279
13173,9964,39971,99
13175,49407,46776,1076
13177,32968,83632,434
13179,65550,55149,891
13181,7726,50754,159
13183,16804,56819,103
13185,118257,52821,2828
13187,33405,67592,549
13189,21715,54752,424
13191,11183,51262,182
13193,12099,33960,168
13195,30378,53626,393
13197,7508,48836,91
13199,20679,52392,319
13201,5923,52132,132
13205,21634,45966,357
13207,28287,74867,570
13209,8687,49138,98
13211,20171,81524,535
13213,40063,60617,404
13215,204572,54561,4457
13217,113298,70732,1600
13219,41978,116221,1334
13221,14974,66672,186
13223,169898,89237,2338
13225,28054,60940,496
13227,33439,72558,753
13229,19822,54861,345
13231,19145,83866,300
13233,43019,51956,618
13235,9887,42545,173
13237,22206,60825,489
13239,2180,38889,34
13241,16915,57261,513
13243,6365,24638,128
13245,206153,50605,4279
13247,93641,68999,2276
13249,4565,53274,64
13251,14026,49941,228
13253,9117,46063,171
13255,67415,57367,1221
13257,26732,52901,545
13259,5121,43094,58
13261,29378,38899,610
13263,5793,48065,66
13265,1635,45881,17
13267,24309,51868,309
13269,7799,40727,125
13271,12619,41801,178
13273,9004,43507,171
13275,45665,55958,1147
13277,41247,52561,1078
13279,26946,47310,689
13281,12546,55574,301
13283,6411,38641,78
13285,69527,53599,1676
13287,8894,39666,154
13289,7955,50446,77
13291,24880,59783,632
13293,27638,48740,447
13295,68065,52276,718
13297,97752,79425,1888
13299,35917,44138,885
13301,5197,45091,78
13303,19975,43810,344
13305,30277,49847,597
13307,2354,35000,31
13309,7550,36354,50
13311,28165,66256,672
13313,103033,59659,2244
13315,8839,46759,89
13317,9610,51780,183
13319,8852,40757,141
13321,20706,56496,265
15001,202163,74238,4251
15003,1010100,99816,20973
15007,73511,88869,2149
15009,164765,95379,4818
16001,497494,83881,16272
16003,4464,55891,117
16005,87434,60998,2266
16007,6436,63244,142
16009,9731,54191,268
16011,48253,69433,957
16013,24248,81794,1657
16015,7809,70776,190
16017,47976,61816,1786
16019,124490,73103,3916
16021,12335,58810,425
16023,2605,37358,52
16025,1133,63750,34
16027,235006,68473,5355
16029,7058,65380,186
16031,24859,63525,741
16033,756,53500,15
16035,8810,55885,230
16037,4344,60357,192
16039,28752,55000,454
16041,14376,61679,359
16043,13519,67015,365
16045,19250,65204,472
16047,15520,60938,374
16049,16787,54745,526
16051,31383,77491,636
16053,24474,67347,603
16055,173396,71949,5761
16057,39872,62258,1014
16059,8043,49216,312
16061,3630,46484,110
16063,5203,62250,98
16065,52487,53025,1009
16067,21626,63594,473
16069,42200,65023,1168
16071,4572,67383,100
16073,12043,58440,227
16075,25571,62721,596
16077,7918,56671,184
16079,13399,44807,348
16081,11813,88906,588
16083,90592,61183,2890
16085,11830,72878,710
16087,10612,50046,222
17001,65583,63767,1763
17003,5261,40365,80
17005,16750,58617,301
17007,53459,80502,855
17009,6334,64760,116
17011,33203,64165,697
17013,4472,88059,73
17015,15594,61539,365
17017,12955,64826,232
17019,206525,61090,4249
17021,33893,56933,714
17023,15467,65874,328
17025,13248,58028,328
17027,36998,78054,890
17029,47076,53732,1110
17031,5225367,78304,134715
17033,18729,64163,412
17035,10447,71274,182
17037,100686,68617,1961
17039,15535,61823,352
17041,19714,67177,570
17043,930559,107035,34061
17045,16852,56687,332
17047,6182,60784,135
17049,34594,73181,1251
17051,21464,51962,476
17053,13484,58930,336
17055,37810,51031,684
17057,33691,57223,600
17059,4967,51868,83
17061,12015,58900,207
17063,52624,89993,1188
17065,8008,60574,180
17067,17582,61026,377
17069,3665,53026,58
17071,6374,64946,107
17073,49157,66313,1025
17075,27043,62866,627
17077,53176,44847,1220
17079,9295,67429,216
17081,37043,58384,895
17083,21462,77607,403
17085,21942,67729,663
17087,13313,63295,168
17089,517254,96400,13181
17091,107421,65489,2270
